,Event,Object,Seed,Hit
0,30,sgr,268435450,"(0, 0.0)"
1,30,grs,268435450,"(0, 0.0)"
2,30,ss,268435450,"(0, 0.0)"
3,30,ngc_cords,268435450,"(0, 0.0)"
4,30,sgr,977105038,"(0, 0.0)"
5,30,grs,977105038,"(0, 0.0)"
6,30,ss,977105038,"(0, 0.0)"
7,30,ngc_cords,977105038,"(0, 0.0)"
8,30,sgr,687194752,"(0, 0.0)"
9,30,grs,687194752,"(0, 0.0)"
10,30,ss,687194752,"(0, 0.0)"
11,30,ngc_cords,687194752,"(31, 0.031)"
12,30,sgr,0,"(0, 0.0)"
13,30,grs,0,"(0, 0.0)"
14,30,ss,0,"(0, 0.0)"
15,30,ngc_cords,0,"(0, 0.0)"
16,22,sgr,300647704,"(0, 0.0)"
17,22,grs,300647704,"(0, 0.0)"
18,22,ss,300647704,"(0, 0.0)"
19,22,ngc_cords,300647704,"(0, 0.0)"
20,22,sgr,42949672,"(0, 0.0)"
21,22,grs,42949672,"(0, 0.0)"
22,22,ss,42949672,"(0, 0.0)"
23,22,ngc_cords,42949672,"(0, 0.0)"
24,23,sgr,869730858,"(0, 0.0)"
25,23,grs,869730858,"(15, 0.015)"
26,23,ss,869730858,"(0, 0.0)"
27,23,ngc_cords,869730858,"(0, 0.0)"
28,30,sgr,536870900,"(0, 0.0)"
29,30,grs,536870900,"(0, 0.0)"
30,30,ss,536870900,"(0, 0.0)"
31,30,ngc_cords,536870900,"(0, 0.0)"
32,23,sgr,397284466,"(0, 0.0)"
33,23,grs,397284466,"(0, 0.0)"
34,23,ss,397284466,"(0, 0.0)"
35,23,ngc_cords,397284466,"(91, 0.091)"
36,22,sgr,214748360,"(0, 0.0)"
37,22,grs,214748360,"(0, 0.0)"
38,22,ss,214748360,"(0, 0.0)"
39,22,ngc_cords,214748360,"(0, 0.0)"
40,23,sgr,236223196,"(0, 0.0)"
41,23,grs,236223196,"(0, 0.0)"
42,23,ss,236223196,"(0, 0.0)"
43,23,ngc_cords,236223196,"(31, 0.031)"
44,22,sgr,139586434,"(0, 0.0)"
45,22,grs,139586434,"(0, 0.0)"
46,22,ss,139586434,"(0, 0.0)"
47,22,ngc_cords,139586434,"(0, 0.0)"
48,22,sgr,236223196,"(38, 0.038)"
49,22,grs,236223196,"(8, 0.008)"
50,22,ss,236223196,"(0, 0.0)"
51,22,ngc_cords,236223196,"(0, 0.0)"
52,23,sgr,1063004382,"(97, 0.097)"
53,23,grs,1063004382,"(120, 0.12)"
54,23,ss,1063004382,"(58, 0.058)"
55,23,ngc_cords,1063004382,"(0, 0.0)"
56,30,sgr,461708974,"(0, 0.0)"
57,30,grs,461708974,"(0, 0.0)"
58,30,ss,461708974,"(0, 0.0)"
59,30,ngc_cords,461708974,"(0, 0.0)"
60,23,sgr,901943112,"(0, 0.0)"
61,23,grs,901943112,"(0, 0.0)"
62,23,ss,901943112,"(0, 0.0)"
63,23,ngc_cords,901943112,"(289, 0.289)"
64,23,sgr,773094096,"(1, 0.001001001001001001)"
65,23,grs,773094096,"(0, 0.0)"
66,23,ss,773094096,"(0, 0.0)"
67,23,ngc_cords,773094096,"(0, 0.0)"
68,30,sgr,289910286,"(0, 0.0)"
69,30,grs,289910286,"(0, 0.0)"
70,30,ss,289910286,"(0, 0.0)"
71,30,ngc_cords,289910286,"(0, 0.0)"
72,23,sgr,193273524,"(0, 0.0)"
73,23,grs,193273524,"(0, 0.0)"
74,23,ss,193273524,"(0, 0.0)"
75,23,ngc_cords,193273524,"(1, 0.001)"
76,23,sgr,0,"(3, 0.003)"
77,23,grs,0,"(1, 0.001)"
78,23,ss,0,"(0, 0.0)"
79,23,ngc_cords,0,"(0, 0.0)"
80,22,sgr,450971556,"(0, 0.0)"
81,22,grs,450971556,"(0, 0.0)"
82,22,ss,450971556,"(0, 0.0)"
83,22,ngc_cords,450971556,"(0, 0.0)"
84,22,sgr,493921228,"(0, 0.0)"
85,22,grs,493921228,"(0, 0.0)"
86,22,ss,493921228,"(0, 0.0)"
87,22,ngc_cords,493921228,"(0, 0.0)"
88,30,sgr,418759302,"(0, 0.0)"
89,30,grs,418759302,"(0, 0.0)"
90,30,ss,418759302,"(0, 0.0)"
91,30,ngc_cords,418759302,"(0, 0.0)"
92,23,sgr,42949672,"(43, 0.043)"
93,23,grs,42949672,"(29, 0.029)"
94,23,ss,42949672,"(0, 0.0)"
95,23,ngc_cords,42949672,"(0, 0.0)"
96,30,sgr,472446392,"(0, 0.0)"
97,30,grs,472446392,"(5, 0.005)"
98,30,ss,472446392,"(53, 0.053)"
99,30,ngc_cords,472446392,"(0, 0.0)"
100,23,sgr,64424508,"(33, 0.033)"
101,23,grs,64424508,"(4, 0.004)"
102,23,ss,64424508,"(2, 0.002)"
103,23,ngc_cords,64424508,"(0, 0.0)"
104,23,sgr,858993440,"(0, 0.0)"
105,23,grs,858993440,"(4, 0.004)"
106,23,ss,858993440,"(8, 0.008)"
107,23,ngc_cords,858993440,"(82, 0.082)"
108,22,sgr,740881842,"(0, 0.0)"
109,22,grs,740881842,"(0, 0.0)"
110,22,ss,740881842,"(0, 0.0)"
111,22,ngc_cords,740881842,"(0, 0.0)"
112,22,sgr,118111598,"(0, 0.0)"
113,22,grs,118111598,"(0, 0.0)"
114,22,ss,118111598,"(0, 0.0)"
115,22,ngc_cords,118111598,"(0, 0.0)"
116,22,sgr,408021884,"(0, 0.0)"
117,22,grs,408021884,"(0, 0.0)"
118,22,ss,408021884,"(0, 0.0)"
119,22,ngc_cords,408021884,"(0, 0.0)"
120,22,sgr,633507662,"(0, 0.0)"
121,22,grs,633507662,"(0, 0.0)"
122,22,ss,633507662,"(0, 0.0)"
123,22,ngc_cords,633507662,"(0, 0.0)"
124,23,sgr,1052266964,"(0, 0.0)"
125,23,grs,1052266964,"(0, 0.0)"
126,23,ss,1052266964,"(1, 0.001)"
127,23,ngc_cords,1052266964,"(1, 0.001)"
128,23,sgr,1009317292,"(0, 0.0)"
129,23,grs,1009317292,"(0, 0.0)"
130,23,ss,1009317292,"(0, 0.0)"
131,23,ngc_cords,1009317292,"(0, 0.0)"
132,30,sgr,64424508,"(0, 0.0)"
133,30,grs,64424508,"(12, 0.012)"
134,30,ss,64424508,"(0, 0.0)"
135,30,ngc_cords,64424508,"(0, 0.0)"
136,22,sgr,440234138,"(0, 0.0)"
137,22,grs,440234138,"(0, 0.0)"
138,22,ss,440234138,"(0, 0.0)"
139,22,ngc_cords,440234138,"(99, 0.099)"
140,30,sgr,858993440,"(0, 0.0)"
141,30,grs,858993440,"(0, 0.0)"
142,30,ss,858993440,"(0, 0.0)"
143,30,ngc_cords,858993440,"(0, 0.0)"
144,23,sgr,719407006,"(0, 0.0)"
145,23,grs,719407006,"(0, 0.0)"
146,23,ss,719407006,"(0, 0.0)"
147,23,ngc_cords,719407006,"(107, 0.107)"
148,22,sgr,246960614,"(0, 0.0)"
149,22,grs,246960614,"(0, 0.0)"
150,22,ss,246960614,"(0, 0.0)"
151,22,ngc_cords,246960614,"(0, 0.0)"
152,22,sgr,85899344,"(0, 0.0)"
153,22,grs,85899344,"(0, 0.0)"
154,22,ss,85899344,"(0, 0.0)"
155,22,ngc_cords,85899344,"(0, 0.0)"
156,23,sgr,977105038,"(14, 0.014)"
157,23,grs,977105038,"(2, 0.002)"
158,23,ss,977105038,"(0, 0.0)"
159,23,ngc_cords,977105038,"(0, 0.0)"
160,30,sgr,708669588,"(0, 0.0)"
161,30,grs,708669588,"(0, 0.0)"
162,30,ss,708669588,"(0, 0.0)"
163,30,ngc_cords,708669588,"(12, 0.012)"
164,23,sgr,644245080,"(0, 0.0)"
165,23,grs,644245080,"(0, 0.0)"
166,23,ss,644245080,"(0, 0.0)"
167,23,ngc_cords,644245080,"(0, 0.0)"
168,22,sgr,676457334,"(1, 0.001)"
169,22,grs,676457334,"(0, 0.0)"
170,22,ss,676457334,"(0, 0.0)"
171,22,ngc_cords,676457334,"(3, 0.003)"
172,30,sgr,987842456,"(0, 0.0)"
173,30,grs,987842456,"(0, 0.0)"
174,30,ss,987842456,"(0, 0.0)"
175,30,ngc_cords,987842456,"(103, 0.103)"
176,22,sgr,547608318,"(0, 0.0)"
177,22,grs,547608318,"(0, 0.0)"
178,22,ss,547608318,"(0, 0.0)"
179,22,ngc_cords,547608318,"(0, 0.0)"
180,30,sgr,1073741800,"(0, 0.0)"
181,30,grs,1073741800,"(0, 0.0)"
182,30,ss,1073741800,"(0, 0.0)"
183,30,ngc_cords,1073741800,"(1, 0.001)"
184,30,sgr,397284466,"(0, 0.0)"
185,30,grs,397284466,"(0, 0.0)"
186,30,ss,397284466,"(0, 0.0)"
187,30,ngc_cords,397284466,"(123, 0.123)"
188,23,sgr,365072212,"(79, 0.079)"
189,23,grs,365072212,"(4, 0.004)"
190,23,ss,365072212,"(3, 0.003)"
191,23,ngc_cords,365072212,"(16, 0.016)"
192,30,sgr,139586434,"(0, 0.0)"
193,30,grs,139586434,"(0, 0.0)"
194,30,ss,139586434,"(0, 0.0)"
195,30,ngc_cords,139586434,"(121, 0.121)"
196,23,sgr,450971556,"(0, 0.0)"
197,23,grs,450971556,"(0, 0.0)"
198,23,ss,450971556,"(0, 0.0)"
199,23,ngc_cords,450971556,"(1, 0.001)"
200,30,sgr,633507662,"(0, 0.0)"
201,30,grs,633507662,"(0, 0.0)"
202,30,ss,633507662,"(0, 0.0)"
203,30,ngc_cords,633507662,"(126, 0.126)"
204,23,sgr,579820572,"(29, 0.029)"
205,23,grs,579820572,"(1, 0.001)"
206,23,ss,579820572,"(77, 0.077)"
207,23,ngc_cords,579820572,"(5, 0.005)"
208,30,sgr,569083154,"(0, 0.0)"
209,30,grs,569083154,"(0, 0.0)"
210,30,ss,569083154,"(0, 0.0)"
211,30,ngc_cords,569083154,"(0, 0.0)"
212,23,sgr,515396064,"(0, 0.0)"
213,23,grs,515396064,"(0, 0.0)"
214,23,ss,515396064,"(0, 0.0)"
215,23,ngc_cords,515396064,"(0, 0.0)"
216,30,sgr,440234138,"(0, 0.0)"
217,30,grs,440234138,"(0, 0.0)"
218,30,ss,440234138,"(0, 0.0)"
219,30,ngc_cords,440234138,"(0, 0.0)"
220,30,sgr,719407006,"(0, 0.0)"
221,30,grs,719407006,"(0, 0.0)"
222,30,ss,719407006,"(0, 0.0)"
223,30,ngc_cords,719407006,"(0, 0.0)"
224,30,sgr,236223196,"(0, 0.0)"
225,30,grs,236223196,"(0, 0.0)"
226,30,ss,236223196,"(0, 0.0)"
227,30,ngc_cords,236223196,"(4, 0.004)"
228,22,sgr,32212254,"(1, 0.001)"
229,22,grs,32212254,"(0, 0.0)"
230,22,ss,32212254,"(0, 0.0)"
231,22,ngc_cords,32212254,"(0, 0.0)"
232,22,sgr,365072212,"(0, 0.0)"
233,22,grs,365072212,"(0, 0.0)"
234,22,ss,365072212,"(0, 0.0)"
235,22,ngc_cords,365072212,"(0, 0.0)"
236,22,sgr,987842456,"(21, 0.021)"
237,22,grs,987842456,"(0, 0.0)"
238,22,ss,987842456,"(0, 0.0)"
239,22,ngc_cords,987842456,"(2, 0.002)"
240,30,sgr,354334794,"(0, 0.0)"
241,30,grs,354334794,"(0, 0.0)"
242,30,ss,354334794,"(0, 0.0)"
243,30,ngc_cords,354334794,"(0, 0.0)"
244,23,sgr,139586434,"(0, 0.0)"
245,23,grs,139586434,"(3, 0.003)"
246,23,ss,139586434,"(0, 0.0)"
247,23,ngc_cords,139586434,"(0, 0.0)"
248,23,sgr,1020054710,"(0, 0.0)"
249,23,grs,1020054710,"(0, 0.0)"
250,23,ss,1020054710,"(0, 0.0)"
251,23,ngc_cords,1020054710,"(0, 0.0)"
252,23,sgr,880468276,"(0, 0.0)"
253,23,grs,880468276,"(0, 0.0)"
254,23,ss,880468276,"(0, 0.0)"
255,23,ngc_cords,880468276,"(0, 0.0)"
256,23,sgr,150323852,"(7, 0.007)"
257,23,grs,150323852,"(2, 0.002)"
258,23,ss,150323852,"(0, 0.0)"
259,23,ngc_cords,150323852,"(52, 0.052)"
260,23,sgr,311385122,"(80, 0.08)"
261,23,grs,311385122,"(1, 0.001)"
262,23,ss,311385122,"(566, 0.566)"
263,23,ngc_cords,311385122,"(0, 0.0)"
264,23,sgr,107374180,"(0, 0.0)"
265,23,grs,107374180,"(0, 0.0)"
266,23,ss,107374180,"(0, 0.0)"
267,23,ngc_cords,107374180,"(41, 0.041)"
268,30,sgr,246960614,"(0, 0.0)"
269,30,grs,246960614,"(0, 0.0)"
270,30,ss,246960614,"(0, 0.0)"
271,30,ngc_cords,246960614,"(597, 0.597)"
272,23,sgr,322122540,"(0, 0.0)"
273,23,grs,322122540,"(0, 0.0)"
274,23,ss,322122540,"(0, 0.0)"
275,23,ngc_cords,322122540,"(0, 0.0)"
276,30,sgr,1052266964,"(4, 0.004)"
277,30,grs,1052266964,"(0, 0.0)"
278,30,ss,1052266964,"(127, 0.127)"
279,30,ngc_cords,1052266964,"(4, 0.004)"
280,30,sgr,751619260,"(41, 0.041)"
281,30,grs,751619260,"(92, 0.0920920920920921)"
282,30,ss,751619260,"(164, 0.164)"
283,30,ngc_cords,751619260,"(0, 0.0)"
284,22,sgr,64424508,"(0, 0.0)"
285,22,grs,64424508,"(0, 0.0)"
286,22,ss,64424508,"(0, 0.0)"
287,22,ngc_cords,64424508,"(0, 0.0)"
288,23,sgr,128849016,"(1, 0.001)"
289,23,grs,128849016,"(1, 0.001)"
290,23,ss,128849016,"(0, 0.0)"
291,23,ngc_cords,128849016,"(0, 0.0)"
292,30,sgr,311385122,"(0, 0.0)"
293,30,grs,311385122,"(0, 0.0)"
294,30,ss,311385122,"(0, 0.0)"
295,30,ngc_cords,311385122,"(0, 0.0)"
296,23,sgr,53687090,"(0, 0.0)"
297,23,grs,53687090,"(0, 0.0)"
298,23,ss,53687090,"(0, 0.0)"
299,23,ngc_cords,53687090,"(0, 0.0)"
300,30,sgr,193273524,"(0, 0.0)"
301,30,grs,193273524,"(0, 0.0)"
302,30,ss,193273524,"(0, 0.0)"
303,30,ngc_cords,193273524,"(0, 0.0)"
304,22,sgr,644245080,"(0, 0.0)"
305,22,grs,644245080,"(0, 0.0)"
306,22,ss,644245080,"(0, 0.0)"
307,22,ngc_cords,644245080,"(0, 0.0)"
308,23,sgr,10737418,"(0, 0.0)"
309,23,grs,10737418,"(0, 0.0)"
310,23,ss,10737418,"(0, 0.0)"
311,23,ngc_cords,10737418,"(17, 0.017)"
312,22,sgr,1030792128,"(0, 0.0)"
313,22,grs,1030792128,"(0, 0.0)"
314,22,ss,1030792128,"(0, 0.0)"
315,22,ngc_cords,1030792128,"(221, 0.221)"
316,23,sgr,429496720,"(0, 0.0)"
317,23,grs,429496720,"(1, 0.001)"
318,23,ss,429496720,"(0, 0.0)"
319,23,ngc_cords,429496720,"(19, 0.019)"
320,23,sgr,934155366,"(0, 0.0)"
321,23,grs,934155366,"(0, 0.0)"
322,23,ss,934155366,"(0, 0.0)"
323,23,ngc_cords,934155366,"(0, 0.0)"
324,30,sgr,161061270,"(0, 0.0)"
325,30,grs,161061270,"(0, 0.0)"
326,30,ss,161061270,"(0, 0.0)"
327,30,ngc_cords,161061270,"(0, 0.0)"
328,30,sgr,85899344,"(4, 0.004)"
329,30,grs,85899344,"(69, 0.069)"
330,30,ss,85899344,"(0, 0.0)"
331,30,ngc_cords,85899344,"(0, 0.0)"
332,30,sgr,955630202,"(0, 0.0)"
333,30,grs,955630202,"(0, 0.0)"
334,30,ss,955630202,"(0, 0.0)"
335,30,ngc_cords,955630202,"(0, 0.0)"
336,23,sgr,676457334,"(0, 0.0)"
337,23,grs,676457334,"(8, 0.00802407221664995)"
338,23,ss,676457334,"(11, 0.011)"
339,23,ngc_cords,676457334,"(0, 0.0)"
340,22,sgr,590557990,"(0, 0.0)"
341,22,grs,590557990,"(0, 0.0)"
342,22,ss,590557990,"(0, 0.0)"
343,22,ngc_cords,590557990,"(99, 0.099)"
344,22,sgr,848256022,"(0, 0.0)"
345,22,grs,848256022,"(0, 0.0)"
346,22,ss,848256022,"(0, 0.0)"
347,22,ngc_cords,848256022,"(0, 0.0)"
348,22,sgr,10737418,"(5, 0.005)"
349,22,grs,10737418,"(0, 0.0)"
350,22,ss,10737418,"(0, 0.0)"
351,22,ngc_cords,10737418,"(115, 0.115)"
352,23,sgr,418759302,"(0, 0.0)"
353,23,grs,418759302,"(8, 0.008)"
354,23,ss,418759302,"(0, 0.0)"
355,23,ngc_cords,418759302,"(0, 0.0)"
356,22,sgr,397284466,"(0, 0.0)"
357,22,grs,397284466,"(0, 0.0)"
358,22,ss,397284466,"(0, 0.0)"
359,22,ngc_cords,397284466,"(0, 0.0)"
360,22,sgr,977105038,"(0, 0.0)"
361,22,grs,977105038,"(0, 0.0)"
362,22,ss,977105038,"(0, 0.0)"
363,22,ngc_cords,977105038,"(0, 0.0)"
364,30,sgr,504658646,"(0, 0.0)"
365,30,grs,504658646,"(0, 0.0)"
366,30,ss,504658646,"(0, 0.0)"
367,30,ngc_cords,504658646,"(0, 0.0)"
368,22,sgr,558345736,"(0, 0.0)"
369,22,grs,558345736,"(0, 0.0)"
370,22,ss,558345736,"(0, 0.0)"
371,22,ngc_cords,558345736,"(30, 0.03)"
372,22,sgr,1052266964,"(0, 0.0)"
373,22,grs,1052266964,"(0, 0.0)"
374,22,ss,1052266964,"(0, 0.0)"
375,22,ngc_cords,1052266964,"(0, 0.0)"
376,22,sgr,601295408,"(0, 0.0)"
377,22,grs,601295408,"(0, 0.0)"
378,22,ss,601295408,"(0, 0.0)"
379,22,ngc_cords,601295408,"(0, 0.0)"
380,22,sgr,719407006,"(0, 0.0)"
381,22,grs,719407006,"(0, 0.0)"
382,22,ss,719407006,"(0, 0.0)"
383,22,ngc_cords,719407006,"(0, 0.0)"
384,30,sgr,429496720,"(0, 0.0)"
385,30,grs,429496720,"(0, 0.0)"
386,30,ss,429496720,"(0, 0.0)"
387,30,ngc_cords,429496720,"(0, 0.0)"
388,22,sgr,418759302,"(0, 0.0)"
389,22,grs,418759302,"(0, 0.0)"
390,22,ss,418759302,"(0, 0.0)"
391,22,ngc_cords,418759302,"(69, 0.069)"
392,23,sgr,612032826,"(0, 0.0)"
393,23,grs,612032826,"(0, 0.0)"
394,23,ss,612032826,"(0, 0.0)"
395,23,ngc_cords,612032826,"(0, 0.0)"
396,23,sgr,268435450,"(0, 0.0)"
397,23,grs,268435450,"(0, 0.0)"
398,23,ss,268435450,"(0, 0.0)"
399,23,ngc_cords,268435450,"(10, 0.01)"
400,30,sgr,730144424,"(0, 0.0)"
401,30,grs,730144424,"(43, 0.043)"
402,30,ss,730144424,"(0, 0.0)"
403,30,ngc_cords,730144424,"(0, 0.0)"
404,30,sgr,665719916,"(0, 0.0)"
405,30,grs,665719916,"(0, 0.0)"
406,30,ss,665719916,"(0, 0.0)"
407,30,ngc_cords,665719916,"(0, 0.0)"
408,23,sgr,558345736,"(97, 0.097)"
409,23,grs,558345736,"(10, 0.01)"
410,23,ss,558345736,"(167, 0.167)"
